Time,Queue Size,Event
0,1,size
0,2,size
0,3,size
0,4,size
0.0008,3,size
0.0016,2,size
0.0024,1,size
0.0032,0,size
3.0208,1,size
3.0208,2,size
3.0208,3,size
3.0208,4,size
3.0216,3,size
3.0224,2,size
3.0232,1,size
3.024,0,size
5.0656,1,size
5.0656,2,size
5.0656,3,size
5.0664,2,size
5.0672,1,size
5.068,0,size
7.1096,1,size
7.1096,2,size
7.1096,3,size
7.1104,2,size
7.1112,1,size
7.112,0,size
13.1536,1,size
13.1536,2,size
13.1536,3,size
13.1536,4,size
13.1536,5,size
13.1544,4,size
13.1552,3,size
13.156,2,size
13.1568,1,size
13.1576,0,size
15.216,1,size
15.216,2,size
15.216,3,size
15.216,4,size
15.216,5,size
15.216,6,size
15.216,7,size
15.216,8,size
15.2168,7,size
15.2176,6,size
15.2184,5,size
15.2192,4,size
15.22,3,size
15.2208,2,size
15.2216,1,size
15.2224,0,size
15.2376,1,size
15.2376,2,size
15.2384,1,size
15.2392,0,size
19.2808,1,size
19.2808,2,size
19.2808,3,size
19.2808,4,size
19.2816,3,size
19.2824,2,size
19.2832,1,size
19.284,0,size
26.324,1,size
26.324,2,size
26.324,3,size
26.324,4,size
26.324,5,size
26.324,6,size
26.3248,5,size
26.3256,4,size
26.3264,3,size
26.3272,2,size
26.328,1,size
26.3288,0,size
29.3704,1,size
29.3704,2,size
29.3704,3,size
29.3704,4,size
29.3704,5,size
29.3712,4,size
29.372,3,size
29.3728,2,size
29.3736,1,size
29.3744,0,size
33.416,1,size
33.416,2,size
33.416,3,size
33.416,4,size
33.416,5,size
33.416,6,size
33.4168,5,size
33.4176,4,size
33.4184,3,size
33.4192,2,size
33.42,1,size
33.4208,0,size
35.4616,1,size
35.4616,2,size
35.4616,3,size
35.4624,2,size
35.4632,1,size
35.464,0,size
36.5048,1,size
36.5048,2,size
36.5048,3,size
36.5048,4,size
36.5048,5,size
36.5048,6,size
36.5048,7,size
36.5056,6,size
36.5064,5,size
36.5072,4,size
36.508,3,size
36.5088,2,size
36.5096,1,size
36.5104,0,size
36.5264,1,size
36.5272,0,size
39.5688,1,size
39.5688,2,size
39.5688,3,size
39.5696,2,size
39.5704,1,size
39.5712,0,size
39.5904,1,size
39.5904,2,size
39.5912,1,size
39.592,0,size
46.6336,1,size
46.6336,2,size
46.6336,3,size
46.6336,4,size
46.6336,5,size
46.6344,4,size
46.6352,3,size
46.636,2,size
46.6368,1,size
46.6376,0,size
47.6792,1,size
47.6792,2,size
47.6792,3,size
47.6792,4,size
47.6792,5,size
47.68,4,size
47.6808,3,size
47.6816,2,size
47.6824,1,size
47.6832,0,size
66.724,1,size
66.724,2,size
66.724,3,size
66.724,4,size
66.724,5,size
66.7248,4,size
66.7256,3,size
66.7264,2,size
66.7272,1,size
66.728,0,size
68.768,1,size
68.768,2,size
68.768,3,size
68.768,4,size
68.768,5,size
68.7688,4,size
68.7696,3,size
68.7704,2,size
68.7712,1,size
68.772,0,size
73.8128,1,size
73.8128,2,size
73.8128,3,size
73.8136,2,size
73.8144,1,size
73.8152,0,size
74.8568,1,size
74.8568,2,size
74.8576,1,size
74.8584,0,size
75.8776,1,size
75.8776,2,size
75.8776,3,size
75.8776,4,size
75.8784,3,size
75.8792,2,size
75.88,1,size
75.8808,0,size
75.8984,1,size
75.8992,0,size
77.9408,1,size
77.9408,2,size
77.9408,3,size
77.9416,2,size
77.9424,1,size
77.9432,0,size
88.9848,1,size
88.9848,2,size
88.9848,3,size
88.9848,4,size
88.9848,5,size
88.9856,4,size
88.9864,3,size
88.9872,2,size
88.988,1,size
88.9888,0,size
90.0472,1,size
90.0472,2,size
90.0472,3,size
90.0472,4,size
90.048,3,size
90.0488,2,size
90.0496,1,size
90.0504,0,size
101.0896,1,size
101.0896,2,size
101.0896,3,size
101.0904,2,size
101.0912,1,size
101.092,0,size
109.1336,1,size
109.1336,2,size
109.1336,3,size
109.1336,4,size
109.1336,5,size
109.1344,4,size
109.1352,3,size
109.136,2,size
109.1368,1,size
109.1376,0,size
110.1792,1,size
110.1792,2,size
110.1792,3,size
110.1792,4,size
110.1792,5,size
110.1792,6,size
110.18,5,size
110.1808,4,size
110.1816,3,size
110.1824,2,size
110.1832,1,size
110.184,0,size
110.2008,1,size
110.2008,2,size
110.2016,1,size
110.2024,0,size
111.2424,1,size
111.2424,2,size
111.2424,3,size
111.2424,4,size
111.2424,5,size
111.2424,6,size
111.2432,5,size
111.244,4,size
111.2448,3,size
111.2456,2,size
111.2464,1,size
111.2472,0,size
114.2888,1,size
114.2888,2,size
114.2888,3,size
114.2888,4,size
114.2888,5,size
114.2888,6,size
114.2888,7,size
114.2896,6,size
114.2904,5,size
114.2912,4,size
114.292,3,size
114.2928,2,size
114.2936,1,size
114.2944,0,size
114.3104,1,size
114.3104,2,size
114.3112,1,size
114.312,0,size
116.3528,1,size
116.3536,0,size
118.3944,1,size
118.3944,2,size
118.3952,1,size
118.396,0,size
123.4152,1,size
123.4152,2,size
123.4152,3,size
123.4152,4,size
123.4152,5,size
123.416,4,size
123.4168,3,size
123.4176,2,size
123.4184,1,size
123.4192,0,size
127.4608,1,size
127.4608,2,size
127.4608,3,size
127.4616,2,size
127.4624,1,size
127.4632,0,size
129.4816,1,size
129.4816,2,size
129.4816,3,size
129.4816,4,size
129.4824,3,size
129.4832,2,size
129.484,1,size
129.4848,0,size
132.5256,1,size
132.5256,2,size
132.5256,3,size
132.5256,4,size
132.5256,5,size
132.5256,6,size
132.5256,7,size
132.5264,6,size
132.5272,5,size
132.528,4,size
132.5288,3,size
132.5296,2,size
132.5304,1,size
132.5312,0,size
133.572,1,size
133.572,2,size
133.5728,1,size
133.5736,0,size
135.6152,1,size
135.6152,2,size
135.6152,3,size
135.6152,4,size
135.616,3,size
135.6168,2,size
135.6176,1,size
135.6184,0,size
136.6592,1,size
136.6592,2,size
136.6592,3,size
136.6592,4,size
136.66,3,size
136.6608,2,size
136.6616,1,size
136.6624,0,size
139.7232,1,size
139.7232,2,size
139.7232,3,size
139.7232,4,size
139.7232,5,size
139.7232,6,size
139.724,5,size
139.7248,4,size
139.7256,3,size
139.7264,2,size
139.7272,1,size
139.728,0,size
140.7696,1,size
140.7696,2,size
140.7696,3,size
140.7696,4,size
140.7696,5,size
140.7696,6,size
140.7704,5,size
140.7712,4,size
140.772,3,size
140.7728,2,size
140.7736,1,size
140.7744,0,size
143.816,1,size
143.816,2,size
143.8168,1,size
143.8176,0,size
144.8368,1,size
144.8368,2,size
144.8368,3,size
144.8368,4,size
144.8368,5,size
144.8368,6,size
144.8368,7,size
144.8368,8,size
144.8376,7,size
144.8384,6,size
144.8392,5,size
144.84,4,size
144.8408,3,size
144.8416,2,size
144.8424,1,size
144.8432,0,size
144.8592,1,size
144.86,0,size
144.8616,1,size
144.8616,2,size
144.8624,1,size
144.8632,0,size
144.8632,1,size
144.864,0,size
144.864,1,size
144.8648,0,size
150.9064,1,size
150.9064,2,size
150.9064,3,size
150.9064,4,size
150.9072,3,size
150.908,2,size
150.9088,1,size
150.9096,0,size
170.948,1,size
170.948,2,size
170.948,3,size
170.948,4,size
170.9488,3,size
170.9496,2,size
170.9504,1,size
170.9512,0,size
172.992,1,size
172.992,2,size
172.992,3,size
172.9928,2,size
172.9936,1,size
172.9944,0,size
175.036,1,size
175.036,2,size
175.036,3,size
175.036,4,size
175.0368,3,size
175.0376,2,size
175.0384,1,size
175.0392,0,size
175.0576,1,size
175.0576,2,size
175.0576,3,size
175.0576,4,size
175.0584,3,size
175.0592,2,size
175.06,1,size
175.0608,0,size
182.1016,1,size
182.1016,2,size
182.1016,3,size
182.1016,4,size
182.1016,5,size
182.1024,4,size
182.1032,3,size
182.104,2,size
182.1048,1,size
182.1056,0,size
187.164,1,size
187.164,2,size
187.164,3,size
187.164,4,size
187.164,5,size
187.164,6,size
187.164,7,size
187.1648,6,size
187.1656,5,size
187.1664,4,size
187.1672,3,size
187.168,2,size
187.1688,1,size
187.1696,0,size
189.2112,1,size
189.2112,2,size
189.2112,3,size
189.2112,4,size
189.2112,5,size
189.212,4,size
189.2128,3,size
189.2136,2,size
189.2144,1,size
189.2152,0,size
192.2568,1,size
192.2568,2,size
192.2568,3,size
192.2568,4,size
192.2568,5,size
192.2576,4,size
192.2584,3,size
192.2592,2,size
192.26,1,size
192.2608,0,size
201.3024,1,size
201.3024,2,size
201.3024,3,size
201.3032,2,size
201.304,1,size
201.3048,0,size
213.3448,1,size
213.3448,2,size
213.3448,3,size
213.3456,2,size
213.3464,1,size
213.3472,0,size
213.3664,1,size
213.3664,2,size
213.3672,1,size
213.368,0,size
213.368,1,size
213.3688,0,size
219.4104,1,size
219.4104,2,size
219.4104,3,size
219.4104,4,size
219.4112,3,size
219.412,2,size
219.4128,1,size
219.4136,0,size
220.4552,1,size
220.4552,2,size
220.4552,3,size
220.4552,4,size
220.4552,5,size
220.4552,6,size
220.456,5,size
220.4568,4,size
220.4576,3,size
220.4584,2,size
220.4592,1,size
220.46,0,size
220.4768,1,size
220.4776,0,size
223.5192,1,size
223.5192,2,size
223.5192,3,size
223.5192,4,size
223.5192,5,size
223.52,4,size
223.5208,3,size
223.5216,2,size
223.5224,1,size
223.5232,0,size
226.5648,1,size
226.5648,2,size
226.5648,3,size
226.5648,4,size
226.5656,3,size
226.5664,2,size
226.5672,1,size
226.568,0,size
230.628,1,size
230.628,2,size
230.628,3,size
230.628,4,size
230.6288,3,size
230.6296,2,size
230.6304,1,size
230.6312,0,size
234.6728,1,size
234.6728,2,size
234.6728,3,size
234.6728,4,size
234.6728,5,size
234.6736,4,size
234.6744,3,size
234.6752,2,size
234.676,1,size
234.6768,0,size
235.7176,1,size
235.7176,2,size
235.7176,3,size
235.7176,4,size
235.7176,5,size
235.7184,4,size
235.7192,3,size
235.72,2,size
235.7208,1,size
235.7216,0,size
235.7416,1,size
235.7416,2,size
235.7424,1,size
235.7432,0,size
244.7848,1,size
244.7848,2,size
244.7848,3,size
244.7848,4,size
244.7848,5,size
244.7856,4,size
244.7864,3,size
244.7872,2,size
244.788,1,size
244.7888,0,size
259.8264,1,size
259.8264,2,size
259.8264,3,size
259.8272,2,size
259.828,1,size
259.8288,0,size
269.8888,1,size
269.8888,2,size
269.8888,3,size
269.8896,2,size
269.8904,1,size
269.8912,0,size
290.9536,1,size
290.9536,2,size
290.9536,3,size
290.9536,4,size
290.9536,5,size
290.9544,4,size
290.9552,3,size
290.956,2,size
290.9568,1,size
290.9576,0,size
292.9744,1,size
292.9744,2,size
292.9744,3,size
292.9744,4,size
292.9744,5,size
292.9744,6,size
292.9752,5,size
292.976,4,size
292.9768,3,size
292.9776,2,size
292.9784,1,size
292.9792,0,size
294.02,1,size
294.02,2,size
294.02,3,size
294.0208,2,size
294.0216,1,size
294.0224,0,size
298.0632,1,size
298.0632,2,size
298.064,1,size
298.0648,0,size
305.1272,1,size
305.1272,2,size
305.1272,3,size
305.128,2,size
305.1288,1,size
305.1296,0,size
305.1496,1,size
305.1504,0,size
306.1704,1,size
306.1704,2,size
306.1704,3,size
306.1704,4,size
306.1712,3,size
306.172,2,size
306.1728,1,size
306.1736,0,size
309.2144,1,size
309.2144,2,size
309.2144,3,size
309.2152,2,size
309.216,1,size
309.2168,0,size
312.2352,1,size
312.2352,2,size
312.2352,3,size
312.2352,4,size
312.236,3,size
312.2368,2,size
312.2376,1,size
312.2384,0,size
313.2976,1,size
313.2976,2,size
313.2984,1,size
313.2992,0,size
315.34,1,size
315.34,2,size
315.34,3,size
315.34,4,size
315.34,5,size
315.3408,4,size
315.3416,3,size
315.3424,2,size
315.3432,1,size
315.344,0,size
317.384,1,size
317.384,2,size
317.3848,1,size
317.3856,0,size
319.4272,1,size
319.4272,2,size
319.4272,3,size
319.4272,4,size
319.4272,5,size
319.4272,6,size
319.428,5,size
319.4288,4,size
319.4296,3,size
319.4304,2,size
319.4312,1,size
319.432,0,size
319.448,1,size
319.4488,0,size
321.4736,1,size
321.4736,2,size
321.4736,3,size
321.4736,4,size
321.4736,5,size
321.4744,4,size
321.4752,3,size
321.476,2,size
321.4768,1,size
321.4776,0,size
321.4944,1,size
321.4944,2,size
321.4944,3,size
321.4944,4,size
321.4952,3,size
321.496,2,size
321.4968,1,size
321.4976,0,size
321.4984,1,size
321.4992,0,size
327.5576,1,size
327.5576,2,size
327.5584,1,size
327.5592,0,size
327.5784,1,size
327.5784,2,size
327.5792,1,size
327.58,0,size
327.58,1,size
327.5808,0,size
332.6216,1,size
332.6216,2,size
332.6216,3,size
332.6216,4,size
332.6216,5,size
332.6216,6,size
332.6224,5,size
332.6232,4,size
332.624,3,size
332.6248,2,size
332.6256,1,size
332.6264,0,size
332.6456,1,size
332.6456,2,size
332.6464,1,size
332.6472,0,size
335.6872,1,size
335.6872,2,size
335.6872,3,size
335.6872,4,size
335.688,3,size
335.6888,2,size
335.6896,1,size
335.6904,0,size
336.7312,1,size
336.7312,2,size
336.7312,3,size
336.7312,4,size
336.732,3,size
336.7328,2,size
336.7336,1,size
336.7344,0,size
338.776,1,size
338.776,2,size
338.776,3,size
338.776,4,size
338.7768,3,size
338.7776,2,size
338.7784,1,size
338.7792,0,size
339.8208,1,size
339.8208,2,size
339.8208,3,size
339.8208,4,size
339.8216,3,size
339.8224,2,size
339.8232,1,size
339.824,0,size
343.8648,1,size
343.8648,2,size
343.8648,3,size
343.8656,2,size
343.8664,1,size
343.8672,0,size
347.9088,1,size
347.9088,2,size
347.9088,3,size
347.9088,4,size
347.9088,5,size
347.9088,6,size
347.9096,5,size
347.9104,4,size
347.9112,3,size
347.912,2,size
347.9128,1,size
347.9136,0,size
347.9304,1,size
347.9312,0,size
347.9312,1,size
347.932,0,size
348.9728,1,size
348.9728,2,size
348.9728,3,size
348.9736,2,size
348.9744,1,size
348.9752,0,size
350.016,1,size
350.016,2,size
350.016,3,size
350.016,4,size
350.016,5,size
350.016,6,size
350.0168,5,size
350.0176,4,size
350.0184,3,size
350.0192,2,size
350.02,1,size
350.0208,0,size
350.0368,1,size
350.0368,2,size
350.0376,1,size
350.0384,0,size
350.0384,1,size
350.0392,0,size
350.0392,1,size
350.04,0,size
353.1,1,size
353.1,2,size
353.1,3,size
353.1008,2,size
353.1016,1,size
353.1024,0,size
361.1432,1,size
361.1432,2,size
361.1432,3,size
361.1432,4,size
361.1432,5,size
361.144,4,size
361.1448,3,size
361.1456,2,size
361.1464,1,size
361.1472,0,size
364.1872,1,size
364.1872,2,size
364.1872,3,size
364.1872,4,size
364.1872,5,size
364.1872,6,size
364.188,5,size
364.1888,4,size
364.1896,3,size
364.1904,2,size
364.1912,1,size
364.192,0,size
370.2336,1,size
370.2336,2,size
370.2336,3,size
370.2344,2,size
370.2352,1,size
370.236,0,size
370.2544,1,size
370.2544,2,size
370.2544,3,size
370.2552,2,size
370.256,1,size
370.2568,0,size
377.2984,1,size
377.2984,2,size
377.2984,3,size
377.2984,4,size
377.2984,5,size
377.2992,4,size
377.3,3,size
377.3008,2,size
377.3016,1,size
377.3024,0,size
385.3616,1,size
385.3616,2,size
385.3616,3,size
385.3624,2,size
385.3632,1,size
385.364,0,size
392.3824,1,size
392.3824,2,size
392.3824,3,size
392.3824,4,size
392.3832,3,size
392.384,2,size
392.3848,1,size
392.3856,0,size
397.4272,1,size
397.4272,2,size
397.4272,3,size
397.4272,4,size
397.4272,5,size
397.4272,6,size
397.428,5,size
397.4288,4,size
397.4296,3,size
397.4304,2,size
397.4312,1,size
397.432,0,size
397.4496,1,size
397.4496,2,size
397.4504,1,size
397.4512,0,size
404.472,1,size
404.472,2,size
404.472,3,size
404.4728,2,size
404.4736,1,size
404.4744,0,size
404.4936,1,size
404.4936,2,size
404.4944,1,size
404.4952,0,size
406.5144,1,size
406.5144,2,size
406.5144,3,size
406.5144,4,size
406.5152,3,size
406.516,2,size
406.5168,1,size
406.5176,0,size
