Time,Sequence Number,Event
0,0,send
0,1000,send
0,2000,send
0,3000,send
0,4000,send
0,5000,send
0,6000,send
0,7000,send
0,8000,send
0,9000,send
0,0,transmit
0.0008,2000,transmit
0.0016,4000,transmit
0.0024,5000,transmit
0.0032,6000,transmit
1.0,0,send
2.0,0,send
3.0,0,send
3.0,0,transmit
3.0208,0,ack
3.0208,1000,send
3.0208,2000,send
3.0208,3000,send
3.0208,4000,send
3.0208,5000,send
3.0208,6000,send
3.0208,7000,send
3.0208,8000,send
3.0208,9000,send
3.0208,10000,send
3.0208,2000,transmit
3.0216,3000,transmit
3.0224,6000,transmit
3.0232,8000,transmit
3.024,9000,transmit
3.0448,0,ack
4.0448,1000,send
4.0448,1000,transmit
5.0448,1000,send
5.0448,1000,transmit
5.0656,6000,ack
5.0656,7000,send
5.0656,8000,send
5.0656,9000,send
5.0656,10000,send
5.0656,11000,send
5.0656,12000,send
5.0656,13000,send
5.0656,14000,send
5.0656,15000,send
5.0656,16000,send
5.0656,8000,transmit
5.0664,11000,transmit
5.0672,13000,transmit
5.068,15000,transmit
5.088,6000,ack
5.0888,6000,ack
6.0888,7000,send
7.0888,7000,send
7.0888,7000,transmit
7.1096,9000,ack
7.1096,10000,send
7.1096,11000,send
7.1096,12000,send
7.1096,13000,send
7.1096,14000,send
7.1096,15000,send
7.1096,16000,send
7.1096,17000,send
7.1096,18000,send
7.1096,19000,send
7.1096,10000,transmit
7.1104,11000,transmit
7.1112,12000,transmit
7.112,17000,transmit
7.1328,13000,ack
7.1328,20000,send
7.1328,21000,send
7.1328,22000,send
7.1328,23000,send
7.1328,20000,transmit
8.1328,14000,send
9.1328,14000,send
10.1328,14000,send
11.1328,14000,send
11.1328,14000,transmit
12.1328,14000,send
12.1328,14000,transmit
13.1328,14000,send
13.1328,14000,transmit
13.1536,15000,ack
13.1536,16000,send
13.1536,17000,send
13.1536,18000,send
13.1536,19000,send
13.1536,20000,send
13.1536,21000,send
13.1536,22000,send
13.1536,23000,send
13.1536,24000,send
13.1536,25000,send
13.1536,16000,transmit
13.1544,17000,transmit
13.1552,18000,transmit
13.156,23000,transmit
13.1568,24000,transmit
13.1576,25000,transmit
13.1744,17000,ack
13.1744,26000,send
13.1744,27000,send
13.1744,27000,transmit
13.176,18000,ack
13.176,28000,send
13.1784,18000,ack
13.1952,18000,ack
14.1952,19000,send
15.1952,19000,send
15.1952,19000,transmit
15.216,20000,ack
15.216,21000,send
15.216,22000,send
15.216,23000,send
15.216,24000,send
15.216,25000,send
15.216,26000,send
15.216,27000,send
15.216,28000,send
15.216,29000,send
15.216,30000,send
15.216,21000,transmit
15.2168,22000,transmit
15.2176,23000,transmit
15.2184,24000,transmit
15.2192,25000,transmit
15.22,26000,transmit
15.2208,27000,transmit
15.2216,28000,transmit
15.2224,30000,transmit
15.2368,21000,ack
15.2368,31000,send
15.2376,25000,ack
15.2376,32000,send
15.2376,33000,send
15.2376,34000,send
15.2376,35000,send
15.2376,32000,transmit
15.2384,33000,transmit
15.2392,35000,transmit
15.24,25000,ack
15.2584,28000,ack
15.2584,36000,send
15.2584,37000,send
15.2584,38000,send
15.2584,38000,transmit
15.2592,28000,ack
15.26,28000,ack
16.26,29000,send
17.26,29000,send
17.26,29000,transmit
18.26,29000,send
19.26,29000,send
19.26,29000,transmit
19.2808,30000,ack
19.2808,31000,send
19.2808,32000,send
19.2808,33000,send
19.2808,34000,send
19.2808,35000,send
19.2808,36000,send
19.2808,37000,send
19.2808,38000,send
19.2808,39000,send
19.2808,40000,send
19.2808,33000,transmit
19.2816,36000,transmit
19.2824,37000,transmit
19.2832,38000,transmit
19.284,39000,transmit
19.3016,30000,ack
19.3024,30000,ack
19.3032,30000,ack
20.3032,31000,send
21.3032,31000,send
22.3032,31000,send
23.3032,31000,send
24.3032,31000,send
24.3032,31000,transmit
25.3032,31000,send
26.3032,31000,send
26.3032,31000,transmit
26.324,33000,ack
26.324,34000,send
26.324,35000,send
26.324,36000,send
26.324,37000,send
26.324,38000,send
26.324,39000,send
26.324,40000,send
26.324,41000,send
26.324,42000,send
26.324,43000,send
26.324,35000,transmit
26.3248,38000,transmit
26.3256,39000,transmit
26.3264,40000,transmit
26.3272,41000,transmit
26.328,42000,transmit
26.3288,43000,transmit
26.3464,33000,ack
26.3472,33000,ack
26.3496,33000,ack
27.3496,34000,send
27.3496,34000,transmit
28.3496,34000,send
29.3496,34000,send
29.3496,34000,transmit
29.3704,43000,ack
29.3704,44000,send
29.3704,45000,send
29.3704,46000,send
29.3704,47000,send
29.3704,48000,send
29.3704,49000,send
29.3704,50000,send
29.3704,51000,send
29.3704,52000,send
29.3704,53000,send
29.3704,45000,transmit
29.3712,47000,transmit
29.372,49000,transmit
29.3728,51000,transmit
29.3736,52000,transmit
29.3744,53000,transmit
29.392,43000,ack
29.3936,43000,ack
29.3952,43000,ack
30.3952,44000,send
30.3952,44000,transmit
31.3952,44000,send
31.3952,44000,transmit
32.3952,44000,send
32.3952,44000,transmit
33.3952,44000,send
33.3952,44000,transmit
33.416,45000,ack
33.416,46000,send
33.416,47000,send
