Time,Congestion Window
0,1000
0.2008,2000
0.4016,3000
0.4024,4000
0.6024,5000
0.6032,6000
0.604,7000
0.6048,8000
0.8032,9000
0.804,10000
0.8048,11000
0.8056,12000
0.8064,13000
0.8072,14000
0.808,15000
1.004,15000
1.0048,15000
1.0056,1000
1.0056,1000
1.0064,1000
1.0072,1000
1.008,1000
1.0088,1000
1.0096,1000
1.0104,1000
1.0112,1000
1.012,1000
1.0128,1000
1.2064,2000
1.4072,3000
1.408,3000
1.608,4000
1.6088,5000
1.6096,6000
1.8088,7000
1.8096,7000
1.8104,7000
1.8112,7000
1.812,7000
1.8128,7000
2.0096,7000
2.0104,8000
2.0112,8000
2.012,8000
2.0128,8000
2.0136,8000
2.0144,8000
2.2104,8000
2.2112,8000
2.212,9000
2.2128,9000
2.2136,9000
2.2144,9000
2.2152,9000
2.216,9000
2.4112,9000
2.412,9000
2.4128,9000
2.4136,9000
2.4144,10000
2.4152,10000
2.416,10000
2.4168,10000
2.4176,10000
2.612,10000
2.6128,10000
2.6136,10000
2.6144,10000
2.6152,11000
2.616,11000
2.6168,11000
2.6176,11000
2.6184,11000
2.6192,11000
2.8128,11000
2.8136,11000
2.8144,11000
2.8152,11000
2.816,11000
2.8168,12000
2.8176,12000
2.8184,12000
2.8192,12000
2.82,12000
2.8208,12000
3.0136,12000
3.0144,12000
3.0152,12000
3.016,12000
3.0168,12000
3.0176,12000
3.0184,13000
3.0192,13000
3.02,13000
3.0208,13000
3.0216,13000
3.0224,13000
3.2144,13000
3.2152,13000
3.216,13000
3.2168,13000
3.2176,13000
3.2184,13000
3.2192,13000
3.22,14000
3.2208,14000
3.2216,14000
3.2224,14000
3.2232,14000
3.224,14000
3.4152,14000
3.416,14000
3.4168,14000
3.4176,14000
3.4184,14000
3.4192,14000
3.42,14000
3.4208,14000
3.4216,15000
3.4224,15000
3.4232,15000
3.424,15000
3.4248,15000
3.4256,15000
3.616,15000
3.6168,15000
3.6176,15000
3.6184,15000
3.6192,15000
3.62,15000
3.6208,15000
3.6216,15000
3.6224,15000
3.6232,16000
3.624,16000
3.6248,16000
3.6256,16000
3.6264,16000
3.6272,16000
3.8168,16000
3.8176,16000
3.8184,16000
3.8192,16000
3.82,16000
3.8208,16000
3.8216,16000
3.8224,16000
3.8232,16000
3.824,16000
3.8248,17000
3.8256,17000
3.8264,17000
3.8272,17000
3.828,17000
3.8288,17000
4.0176,17000
4.0184,17000
4.0192,17000
4.02,17000
4.0208,17000
4.0216,17000
4.0224,17000
4.0232,17000
4.024,17000
4.0248,17000
4.0256,17000
4.0264,18000
4.0272,18000
4.028,18000
4.0288,18000
4.0296,18000
4.0304,18000
4.2184,18000
4.2192,18000
4.22,18000
4.2208,18000
4.2216,18000
4.2224,18000
4.2232,18000
4.224,18000
4.2248,18000
4.2256,18000
4.2264,18000
4.2272,18000
4.228,19000
4.2288,19000
4.2296,19000
4.2304,19000
4.2312,19000
4.232,19000
4.4192,19000
4.42,19000
4.4208,19000
4.4216,19000
4.4224,19000
4.4232,19000
4.424,19000
4.4248,19000
4.4256,19000
4.4264,19000
4.4272,19000
4.428,19000
4.4288,19000
4.4296,20000
4.4304,20000
4.4312,20000
4.432,20000
4.4328,20000
4.4336,20000
4.62,20000
4.6208,20000
4.6216,20000
4.6224,20000
4.6232,20000
4.624,20000
4.6248,20000
4.6256,20000
4.6264,20000
4.6272,20000
4.628,20000
4.6288,20000
4.6296,20000
4.6304,20000
4.6312,21000
4.632,21000
4.6328,21000
4.6336,21000
4.6344,21000
4.6352,21000
4.8208,21000
4.8216,21000
4.8224,21000
4.8232,21000
4.824,21000
4.8248,21000
4.8256,21000
4.8264,21000
4.8272,21000
4.828,21000
4.8288,21000
4.8296,21000
4.8304,21000
4.8312,21000
4.832,21000
4.8328,22000
4.8336,22000
4.8344,22000
4.8352,22000
4.836,22000
4.8368,22000
5.0216,22000
5.0224,22000
5.0232,22000
5.024,22000
5.0248,22000
5.0256,22000
5.0264,22000
5.0272,22000
5.028,22000
5.0288,22000
5.0296,22000
5.0304,22000
5.0312,22000
5.032,22000
5.0328,22000
5.0336,22000
5.0344,23000
5.0352,23000
5.036,23000
5.0368,23000
5.0376,23000
5.0384,23000
5.2224,23000
5.2232,23000
5.224,23000
5.2248,23000
5.2256,23000
5.2264,23000
5.2272,23000
5.228,23000
5.2288,23000
5.2296,23000
5.2304,23000
5.2312,23000
5.232,23000
5.2328,23000
5.2336,23000
5.2344,23000
5.2352,23000
5.236,24000
5.2368,24000
5.2376,24000
5.2384,24000
5.2392,24000
5.24,24000
5.4232,24000
5.424,24000
5.4248,24000
5.4256,24000
5.4264,24000
5.4272,24000
5.428,24000
5.4288,24000
5.4296,24000
5.4304,24000
5.4312,24000
5.432,24000
5.4328,24000
5.4336,24000
5.4344,24000
5.4352,24000
5.436,24000
5.4368,24000
5.4376,25000
5.4384,25000
5.4392,25000
5.44,25000
5.4408,25000
5.4416,25000
5.624,25000
5.6248,25000
5.6256,25000
5.6264,25000
5.6272,25000
5.628,25000
5.6288,25000
5.6296,25000
5.6304,25000
5.6312,25000
5.632,25000
5.6328,25000
5.6336,25000
5.6344,25000
5.6352,25000
5.636,25000
5.6368,25000
5.6376,25000
5.6384,25000
5.6392,26000
5.64,26000
5.6408,26000
5.6416,26000
5.6424,26000
5.6432,26000
5.8248,26000
5.8256,26000
5.8264,26000
5.8272,26000
5.828,26000
5.8288,26000
5.8296,26000
5.8304,26000
5.8312,26000
5.832,26000
5.8328,26000
5.8336,26000
5.8344,26000
5.8352,26000
5.836,26000
5.8368,26000
5.8376,26000
5.8384,26000
5.8392,26000
